GEN,GAME_SPEED,POINTS,SURVIVAL_THRESHOLD,POPULATION,ACT_FUNC
50,36,1662,0.6,151,tanh
12,41,2135,0.6,150,sigmoid
13,39,1952,0.6,150,sigmoid
1,25,580,0.1,150,sigmoid
14,39,1931,0.6,150,sigmoid
2,39,1949,0.1,150,sigmoid
15,36,1695,0.6,150,sigmoid
3,38,1897,0.1,150,sigmoid
16,39,1953,0.6,151,sigmoid
4,36,1636,0.1,150,sigmoid
17,39,1931,0.6,150,sigmoid
5,39,1989,0.1,150,sigmoid
18,35,1527,0.6,150,sigmoid
6,43,2311,0.1,150,sigmoid
19,33,1317,0.6,150,sigmoid
20,35,1574,0.6,150,sigmoid
7,42,2201,0.1,150,sigmoid
21,30,1008,0.6,149,sigmoid
8,41,2198,0.1,150,sigmoid
22,35,1531,0.6,150,sigmoid
23,37,1743,0.6,151,sigmoid
9,39,1922,0.1,150,sigmoid
24,34,1469,0.6,151,sigmoid
10,39,1929,0.1,150,sigmoid
25,34,1425,0.6,150,sigmoid
11,39,1927,0.1,150,sigmoid
26,34,1489,0.6,150,sigmoid
12,41,2198,0.1,150,sigmoid
27,38,1833,0.6,150,sigmoid
28,35,1504,0.6,150,sigmoid
13,39,1992,0.1,150,sigmoid
29,36,1605,0.6,150,sigmoid
14,39,1924,0.1,150,sigmoid
30,33,1394,0.6,150,sigmoid
15,39,1957,0.1,150,sigmoid
31,36,1699,0.6,151,sigmoid
16,38,1831,0.1,150,sigmoid
32,36,1600,0.6,151,sigmoid
33,36,1607,0.6,150,sigmoid
17,44,2429,0.1,150,sigmoid
34,38,1895,0.6,150,sigmoid
18,37,1734,0.1,150,sigmoid
35,33,1393,0.6,151,sigmoid
19,41,2140,0.1,150,sigmoid
36,35,1533,0.6,150,sigmoid
37,35,1596,0.6,150,sigmoid
20,41,2195,0.1,150,sigmoid
38,38,1838,0.6,150,sigmoid
21,43,2332,0.1,150,sigmoid
39,35,1538,0.6,151,sigmoid
40,36,1637,0.6,150,sigmoid
22,47,2759,0.1,150,sigmoid
41,36,1605,0.6,150,sigmoid
23,36,1632,0.1,150,sigmoid
42,36,1697,0.6,151,sigmoid
24,43,2370,0.1,150,sigmoid
43,35,1568,0.6,150,sigmoid
25,37,1768,0.1,150,sigmoid
44,36,1642,0.6,150,sigmoid
26,36,1635,0.1,150,sigmoid
45,38,1837,0.6,151,sigmoid
27,36,1607,0.1,150,sigmoid
